Preparando os motores e o radar...

Podemos medir a distancia ate a mesa?
Distancia ate a mesa: 
42
Forca do sinal: 
293

Podemos iniciar a varredura?
Iniciando varredura de radar
x,y,z,str
45.0,0.0,2.0,318.0
48.0,0.0,3.0,333.0
51.0,0.0,2.0,321.0
54.0,0.0,2.0,349.0
57.0,0.0,3.0,361.0
60.0,0.0,3.0,362.0
63.0,0.0,3.0,382.0
66.0,0.0,2.0,266.0
69.0,0.0,2.0,266.0
72.0,0.0,2.0,266.0
75.0,0.0,2.0,262.0
3.0,2.0,3.0,319.0
6.0,2.0,3.0,319.0
9.0,2.0,3.0,319.0
48.0,2.0,4.0,328.0
51.0,2.0,4.0,309.0
54.0,2.0,5.0,360.0
57.0,2.0,5.0,360.0
60.0,2.0,5.0,369.0
63.0,2.0,5.0,382.0
66.0,2.0,5.0,383.0
69.0,2.0,3.0,268.0
72.0,2.0,4.0,268.0
6.0,4.0,2.0,323.0
9.0,4.0,3.0,323.0
45.0,4.0,4.0,304.0
48.0,4.0,4.0,304.0
51.0,4.0,4.0,295.0
54.0,4.0,5.0,340.0
57.0,4.0,5.0,340.0
60.0,4.0,5.0,358.0
63.0,4.0,4.0,319.0
66.0,4.0,4.0,318.0
69.0,4.0,4.0,319.0
72.0,4.0,4.0,272.0
75.0,4.0,3.0,248.0
78.0,4.0,3.0,247.0
81.0,4.0,2.0,263.0
6.0,6.0,3.0,328.0
9.0,6.0,2.0,294.0
12.0,6.0,2.0,293.0
15.0,6.0,2.0,295.0
42.0,6.0,2.0,282.0
45.0,6.0,4.0,301.0
48.0,6.0,4.0,301.0
51.0,6.0,4.0,307.0
54.0,6.0,4.0,306.0
57.0,6.0,5.0,355.0
60.0,6.0,5.0,355.0
63.0,6.0,4.0,322.0
66.0,6.0,4.0,323.0
69.0,6.0,4.0,323.0
72.0,6.0,4.0,283.0
75.0,6.0,3.0,245.0
78.0,6.0,2.0,255.0
81.0,6.0,2.0,255.0
6.0,8.0,3.0,366.0
48.0,8.0,3.0,335.0
51.0,8.0,2.0,324.0
54.0,8.0,2.0,324.0
57.0,8.0,4.0,381.0
60.0,8.0,4.0,381.0
63.0,8.0,3.0,375.0
66.0,8.0,2.0,353.0
3.0,10.0,4.0,367.0
6.0,10.0,4.0,366.0
9.0,10.0,4.0,368.0
48.0,10.0,3.0,335.0
51.0,10.0,3.0,335.0
54.0,10.0,3.0,392.0
57.0,10.0,4.0,386.0
60.0,10.0,4.0,385.0
63.0,10.0,2.0,353.0
66.0,10.0,2.0,350.0
69.0,10.0,3.0,290.0
72.0,10.0,3.0,291.0
75.0,10.0,2.0,249.0
12.0,12.0,4.0,367.0
45.0,12.0,2.0,333.0
48.0,12.0,3.0,337.0
51.0,12.0,3.0,325.0
54.0,12.0,3.0,325.0
57.0,12.0,3.0,381.0
60.0,12.0,2.0,351.0
63.0,12.0,2.0,339.0
66.0,12.0,2.0,319.0
69.0,12.0,2.0,318.0
72.0,12.0,2.0,305.0
75.0,12.0,2.0,285.0
81.0,12.0,2.0,247.0
6.0,14.0,2.0,340.0
9.0,14.0,2.0,340.0
12.0,14.0,2.0,340.0
39.0,14.0,2.0,313.0
42.0,14.0,2.0,313.0
45.0,14.0,2.0,333.0
48.0,14.0,2.0,333.0
51.0,14.0,2.0,328.0
54.0,14.0,4.0,398.0
57.0,14.0,3.0,388.0
60.0,14.0,2.0,348.0
63.0,14.0,2.0,347.0
66.0,14.0,2.0,303.0
69.0,14.0,3.0,302.0
72.0,14.0,2.0,302.0
12.0,16.0,3.0,359.0
45.0,16.0,3.0,321.0
48.0,16.0,2.0,319.0
51.0,16.0,2.0,320.0
54.0,16.0,4.0,385.0
57.0,16.0,4.0,385.0
60.0,16.0,2.0,325.0
63.0,16.0,2.0,316.0
66.0,16.0,2.0,317.0
69.0,16.0,2.0,317.0
72.0,16.0,2.0,317.0
75.0,16.0,2.0,254.0
78.0,16.0,2.0,254.0
6.0,18.0,4.0,365.0
9.0,18.0,4.0,365.0
12.0,18.0,4.0,365.0
15.0,18.0,4.0,365.0
45.0,18.0,3.0,335.0
48.0,18.0,3.0,327.0
51.0,18.0,3.0,322.0
54.0,18.0,3.0,376.0
57.0,18.0,4.0,375.0
60.0,18.0,3.0,375.0
63.0,18.0,2.0,317.0
66.0,18.0,2.0,313.0
69.0,18.0,3.0,299.0
72.0,18.0,2.0,261.0
75.0,18.0,3.0,261.0
78.0,18.0,2.0,261.0
6.0,20.0,4.0,382.0
9.0,20.0,2.0,344.0
12.0,20.0,2.0,292.0
15.0,20.0,2.0,292.0
18.0,20.0,2.0,291.0
42.0,20.0,2.0,320.0
45.0,20.0,3.0,344.0
48.0,20.0,2.0,316.0
51.0,20.0,2.0,316.0
54.0,20.0,2.0,316.0
57.0,20.0,2.0,316.0
60.0,20.0,3.0,343.0
63.0,20.0,2.0,291.0
66.0,20.0,2.0,310.0
69.0,20.0,3.0,303.0
72.0,20.0,3.0,303.0
75.0,20.0,3.0,270.0
6.0,22.0,2.0,276.0
9.0,22.0,2.0,275.0
12.0,22.0,2.0,275.0
36.0,22.0,3.0,364.0
39.0,22.0,3.0,377.0
42.0,22.0,3.0,376.0
